,adverb/adjective,adverb/noun,adverb/pronoun,adjective/verb,adjective/pronoun,noun/verb,noun/pronoun,verb/pronoun,id,label
0,0.6,0.17647058823529413,0.375,0.5555555555555556,0.625,1.8888888888888888,2.125,1.125,cn01_para_5,1
1,1.8,0.6428571428571429,0.6,0.3333333333333333,0.3333333333333333,0.9333333333333333,0.9333333333333333,1.0,cn01_para_7,1
2,0.0,0.0,0.0,0.16666666666666666,0.2,1.3333333333333333,1.6,1.2,cn01_para_9,1
3,0.8571428571428571,0.6,0.35294117647058826,0.7,0.4117647058823529,1.0,0.5882352941176471,0.5882352941176471,cn01_para_12,1
4,1.3333333333333333,0.6666666666666666,0.4,0.42857142857142855,0.3,0.8571428571428571,0.6,0.7,cn01_para_40,1
5,0.5,0.14285714285714285,0.18181818181818182,0.36363636363636365,0.36363636363636365,1.2727272727272727,1.2727272727272727,1.0,cn01_para_47,1
6,0.0,0.08333333333333333,0.125,0.0,0.0,1.5,1.5,1.0,cn01_para_51,1
7,1.5,0.6,0.5,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.8333333333333334,1.1666666666666667,cn02_para_10,1
8,1.0,1.0,0.18181818181818182,0.2857142857142857,0.18181818181818182,0.2857142857142857,0.18181818181818182,0.6363636363636364,cn02_para_14,1
9,3.5,0.875,1.75,0.25,0.5,1.0,2.0,2.0,cn02_para_15,1
10,2.0,1.2,0.8571428571428571,0.375,0.42857142857142855,0.625,0.7142857142857143,1.1428571428571428,cn02_para_21,1
11,0.4,0.1111111111111111,0.2,0.3125,0.5,1.125,1.8,1.6,cn02_para_32,1
12,0.16666666666666666,0.07407407407407407,0.4,0.8571428571428571,2.4,1.9285714285714286,5.4,2.8,cn02_para_33,1
13,3.0,0.5,1.2,0.2222222222222222,0.4,1.3333333333333333,2.4,1.8,cn02_para_34,1
14,0.0,0.0,0.0,0.125,0.16666666666666666,0.875,1.1666666666666667,1.3333333333333333,cn03_para_9,1
15,3.0,1.5,0.42857142857142855,0.125,0.14285714285714285,0.25,0.2857142857142857,1.1428571428571428,cn03_para_13,1
16,0.25,0.16666666666666666,0.07142857142857142,0.36363636363636365,0.2857142857142857,0.5454545454545454,0.42857142857142855,0.7857142857142857,cn03_para_17,1
17,0.0,0.0,0.0,0.3333333333333333,0.75,1.4444444444444444,3.25,2.25,cn03_para_19,1
18,0.0,0.0,0.0,0.1,0.14285714285714285,1.1,1.5714285714285714,1.4285714285714286,cn03_para_40,1
19,1.0,0.1111111111111111,1.0,0.14285714285714285,1.0,1.2857142857142858,9.0,7.0,cn03_para_42,1
20,0.0,0.0,0.0,0.18181818181818182,0.2222222222222222,1.6363636363636365,2.0,1.2222222222222223,cn03_para_45,1
21,0.0,0.23076923076923078,0.42857142857142855,0.0,0.0,1.1818181818181819,1.8571428571428572,1.5714285714285714,cn03_para_47,1
22,0.2,0.058823529411764705,0.25,0.5555555555555556,1.25,1.8888888888888888,4.25,2.25,cn03_para_56,1
23,1.0,0.18181818181818182,0.2857142857142857,0.25,0.2857142857142857,1.375,1.5714285714285714,1.1428571428571428,cn04_para_3,1
24,0.5,0.09523809523809523,0.4,0.3076923076923077,0.8,1.6153846153846154,4.2,2.6,cn04_para_17,1
25,0.6666666666666666,0.4,0.3333333333333333,0.42857142857142855,0.5,0.7142857142857143,0.8333333333333334,1.1666666666666667,cn04_para_27,1
26,0.3333333333333333,0.125,0.2222222222222222,0.6,0.6666666666666666,1.6,1.7777777777777777,1.1111111111111112,cn04_para_28,1
27,0.2857142857142857,0.125,0.2222222222222222,0.6363636363636364,0.7777777777777778,1.4545454545454546,1.7777777777777777,1.2222222222222223,cn04_para_38,1
28,1.0,0.1875,0.21428571428571427,0.3333333333333333,0.21428571428571427,1.7777777777777777,1.1428571428571428,0.6428571428571429,cn04_para_39,1
29,0.5,0.5,0.125,0.2857142857142857,0.25,0.2857142857142857,0.25,0.875,cn05_para_4,1
30,1.25,0.2777777777777778,0.29411764705882354,0.2857142857142857,0.23529411764705882,1.2857142857142858,1.0588235294117647,0.8235294117647058,cn05_para_7,1
31,4.0,1.3333333333333333,0.3333333333333333,0.1111111111111111,0.08333333333333333,0.3333333333333333,0.25,0.75,cn05_para_14,1
32,0.0,1.6,0.6153846153846154,0.0,0.0,0.4166666666666667,0.38461538461538464,0.9230769230769231,cn05_para_15,1
33,1.5,0.375,0.15789473684210525,0.14285714285714285,0.10526315789473684,0.5714285714285714,0.42105263157894735,0.7368421052631579,cn05_para_17,1
34,0.42857142857142855,0.25,0.375,1.0,0.875,1.7142857142857142,1.5,0.875,cn05_para_20,1
35,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.5,1.0,0.6666666666666666,cn05_para_23,1
36,1.5,0.21428571428571427,0.5,0.2,0.3333333333333333,1.4,2.3333333333333335,1.6666666666666667,cn05_para_26,1
37,0.5,0.3333333333333333,0.14285714285714285,1.0,0.2857142857142857,1.5,0.42857142857142855,0.2857142857142857,cn05_para_27,1
38,0.0,2.0,0.4444444444444444,0.0,0.0,0.3333333333333333,0.2222222222222222,0.6666666666666666,cn05_para_29,1
39,3.0,0.8571428571428571,0.46153846153846156,0.125,0.15384615384615385,0.4375,0.5384615384615384,1.2307692307692308,cn05_para_34,1
40,3.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,cn05_para_36,1
41,0.7142857142857143,0.38461538461538464,0.7142857142857143,0.7,1.0,1.3,1.8571428571428572,1.4285714285714286,cn05_para_39,1
42,2.0,0.4444444444444444,0.6666666666666666,0.2,0.3333333333333333,0.9,1.5,1.6666666666666667,cn05_para_40,1
43,0.0,0.0,0.0,1.0,0.625,1.8,1.125,0.625,cn05_para_41,1
44,0.3,0.21428571428571427,0.2727272727272727,0.9090909090909091,0.9090909090909091,1.2727272727272727,1.2727272727272727,1.0,cn05_para_43,1
45,0.0,0.11764705882352941,0.6666666666666666,0.0,0.0,2.4285714285714284,5.666666666666667,2.3333333333333335,cn07_para_19,1
46,0.5,0.2222222222222222,0.4,0.8,0.8,1.8,1.8,1.0,cn07_para_24,1
47,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,1.0,cn07_para_27,1
48,0.75,0.13636363636363635,0.25,0.25,0.3333333333333333,1.375,1.8333333333333333,1.3333333333333333,cn07_para_33,1
49,0.0,0.25,0.07692307692307693,0.0,0.0,0.6666666666666666,0.3076923076923077,0.46153846153846156,cn07_para_56,1
50,0.0,0.5,0.1111111111111111,0.0,0.0,0.2857142857142857,0.2222222222222222,0.7777777777777778,cn07_para_60,1
51,0.375,0.1875,1.0,1.1428571428571428,2.6666666666666665,2.2857142857142856,5.333333333333333,2.3333333333333335,cn07_para_72,1
52,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,1.6666666666666667,2.5,1.5,cn07_para_73,1
53,3.0,0.375,0.3,0.125,0.1,1.0,0.8,0.8,cn07_para_78,1
54,1.1111111111111112,1.0,0.8333333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,1.0,cn08_para_3,1
55,0.4444444444444444,0.2857142857142857,1.3333333333333333,1.125,3.0,1.75,4.666666666666667,2.6666666666666665,cn08_para_9,1
56,0.16666666666666666,0.07142857142857142,0.07692307692307693,0.35294117647058826,0.46153846153846156,0.8235294117647058,1.0769230769230769,1.3076923076923077,cn08_para_13,1
57,0.5,0.23076923076923078,0.75,1.0,1.5,2.1666666666666665,3.25,1.5,cn08_para_14,1
